#options: 3840x1714 fps=24/1 timebase=1/24 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=6 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=24 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=5200 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:27.54 aq:8.00 tex:486 mv:6355 misc:151 imb:25920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:27.88 aq:8.00 tex:0 mv:0 misc:1080 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:27.88 aq:12.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:27.88 aq:13.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:27.88 aq:13.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:27.47 aq:8.00 tex:0 mv:0 misc:1088 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:27.67 aq:11.00 tex:0 mv:0 misc:1072 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:27.78 aq:13.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:27.57 aq:13.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:27.04 aq:8.00 tex:0 mv:0 misc:1088 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:27.25 aq:11.00 tex:0 mv:0 misc:1072 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:27.36 aq:12.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:27.15 aq:12.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:26.61 aq:7.00 tex:0 mv:0 misc:1096 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:26.83 aq:11.00 tex:0 mv:0 misc:1072 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:26.94 aq:12.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:26.72 aq:12.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:26.17 aq:7.00 tex:0 mv:0 misc:1096 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:26.39 aq:10.00 tex:0 mv:0 misc:1072 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:26.50 aq:12.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:26.28 aq:11.00 tex:0 mv:0 misc:1056 imb:0 pmb:0 smb:25920 d:- ref:0 ;
in:23 out:21 type:P dur:2 cpbdur:2 q:18.17 aq:5.11 tex:11392 mv:307 misc:1165 imb:59 pmb:6 smb:25855 d:- ref:0 ;
in:21 out:22 type:B dur:2 cpbdur:2 q:23.51 aq:8.00 tex:26 mv:70 misc:1152 imb:0 pmb:20 smb:25900 d:- ref:0 ;
in:22 out:23 type:b dur:2 cpbdur:2 q:20.84 aq:6.00 tex:35 mv:95 misc:1158 imb:2 pmb:19 smb:25899 d:- ref:0 ;
